"parameter","value"
"alpha",-1.95240811515533
"n_dev",858
"n_events",129
"epv",12.9
"n_ext",1e+05
"target_prev",0.15
"observed_prev",0.1511
"n_predictors",10
"n_simulations",500
"n_bootstrap",200
"n_cv_folds",10
"riley_n",817
"pavlou_n",858
