"sim","cv_cal_slope","ext_cal_slope","apparent_cal_slope"
1,0.69105534571656,1.10471239902857,1.00000000000103
2,0.818336226493677,0.913701495116327,1.00000000000117
3,0.839799202020172,0.931434994991139,1.00000000000011
4,0.805473929469251,0.89419070478231,1.00000000000225
5,0.824747440176466,0.874835111647904,1.00000000000086
6,0.847610379656709,0.874032162095155,1.00000000001193
7,0.858000771176815,0.691463723069215,1.00000000005558
8,0.808478783000462,0.910031074430448,1.00000000000084
9,0.792659112285782,0.977809267908188,1.00000000000284
10,0.747318235280948,1.04341372955003,1.00000000000033
11,0.84641138627994,0.758968241718369,1.00000000087278
12,0.845469425546416,0.846717279432565,1.00000000000885
13,0.795534340590587,0.883059241049286,1.00000000000259
14,0.753864643825837,1.00913101226545,1.00000000000048
15,0.860679640182403,0.796860565318612,1.00000000028315
16,0.781675829453138,1.06039050371168,1.00000000000006
17,0.722878424102733,1.13952075893102,1.00000000000002
18,0.834353217832573,0.903893326215655,1.00000000000053
19,0.814999706721158,0.853254043719621,1.00000000000189
20,0.85044218094328,0.822081871531755,1.00000000001362
21,0.863000714031831,0.863786216006803,1.00000000000054
22,0.857892922168729,0.70217601288105,1.00000000028286
23,0.730102324083666,0.823939639174529,1.00000000031501
24,0.780057746599157,0.948816901904902,1.00000000000444
25,0.835897784493564,0.698532668120301,1.00000000123967
26,0.831410237413562,0.711571218626887,1.00000000288426
27,0.831737639465531,0.857202537664668,1.00000000000657
28,0.840053037712367,0.864133194543411,1.00000000004675
29,0.824116300478089,0.904417173500702,1.00000000000005
30,0.839099035878414,0.812664663832255,1.00000000006869
31,0.805189607722839,0.897929704438368,1.00000000000193
32,0.792941027739175,0.911968600088395,1.0000000000019
33,0.825847744254288,0.727883413607299,1.00000000093592
34,0.769307998562481,0.93338877990647,1.00000000000018
35,0.804619058773563,0.907296936888628,1.00000000000124
36,0.878532274526571,0.765924922031963,1.00000000000869
37,0.799780659411349,1.04601820602358,1.00000000000012
38,0.808417074777439,1.02523169927867,1.0000000000001
39,0.849248082401078,0.839793700093559,1.00000000000394
40,0.855705605418521,0.842263183244558,1.00000000027781
41,0.690403855062873,1.12944721300655,1.00000000126783
42,0.787624738589473,0.951928494462491,1.0000000000177
43,0.863707979965547,0.785709428891244,1.00000000002812
44,0.850487807883126,0.855201364866215,1.00000000000528
45,0.87665569606904,0.906538877370508,1.0000000000004
46,0.848715901852355,0.909934830824103,1.00000000000068
47,0.844328589871443,0.947992732651988,1.00000000000048
48,0.76003469487882,0.988115593520751,1.00000000000002
49,0.816937453998046,0.863834899738084,1.00000000000461
50,0.684032936371523,1.05416923864644,1.00000000000016
51,0.775264291712069,0.92440084649462,1.00000000000073
52,0.850709213488124,0.836224350980393,1.00000000001539
53,0.833235617109241,0.84817158566171,1.00000000000237
54,0.783157139369718,1.02385651180031,1.00000000000006
55,0.755401141703141,0.985657124332863,1.00000000000299
56,0.803428143189331,0.867704908335812,1.00000000000232
57,0.773502281012045,0.927869593942833,1.00000000001496
58,0.805979372805536,0.767989721967891,1.00000000001533
59,0.854389015463024,0.9181544102421,1.00000000000291
60,0.762538091960787,0.917693372229787,1.00000000000398
61,0.757970281585692,0.964823382595527,1.00000000000055
62,0.77909703916377,0.900060890825655,1.00000000000129
63,0.837632977424498,0.845813291811281,1.00000000000158
64,0.80409292279934,0.802864123602995,1.00000000000392
65,0.792617683093188,0.883830550628224,1.00000000000592
66,0.817938708522996,0.884322879681494,1.00000000000076
67,0.752739120466276,0.961454492186666,1.00000000000017
68,0.841608399898394,0.783717145193695,1.00000000001609
69,0.804912133940096,0.77520273368901,1.00000000052531
70,0.795017512222425,0.899954599243409,1.00000000000472
71,0.864202190407447,0.76436429059435,1.00000000001826
72,0.825861563659174,0.815454366348018,1.00000000028662
73,0.83603748006067,0.85389766756337,1.0000000000005
74,0.76267021157187,0.86850776833958,1.00000000000153
75,0.83206123170659,1.00752573403863,1.0000000000004
76,0.850631054982921,0.824593359499116,1.00000000000022
77,0.822240934041427,0.897000090837812,1.00000000000019
78,0.811148519255312,1.02240783428483,1.00000000000023
79,0.721809740031188,1.08904983876742,1.00000000000007
80,0.824325988529482,0.862167084936058,1.00000000000019
81,0.832072443404709,0.903582134389975,1.00000000000026
82,0.845477899654961,0.749416369040465,1.00000000004241
83,0.776597442826326,0.999486793527334,1.00000000000125
84,0.831632300960079,0.851850980229702,1.00000000003659
85,0.864021627537524,0.748911552306515,1.0000000001194
86,0.814483346537544,0.864653840971237,1.00000000005447
87,0.765956694790774,0.823980799029811,1.00000000007149
88,0.83949234453074,0.735633948003983,1.00000000030006
89,0.713042677045038,1.05130112084018,1.00000000001198
90,0.790003038490257,1.02629280483671,1.00000000000013
91,0.804990948218239,0.835220234869661,1.00000000000956
92,0.842165200237109,0.976055942599829,1.00000000000127
93,0.833025262939274,0.956870557078276,1.00000000000281
94,0.847177200614443,0.940208179402823,1.0000000000041
95,0.812990851268788,0.942984365697276,1.00000000000001
96,0.868489087327347,0.850617262976885,1.00000000000395
97,0.831741610295866,0.947352106852367,1.00000000000022
98,0.72026698437501,1.14979107271182,1.00000000148258
99,0.826701986294868,0.824815939010084,1.00000000003313
100,0.778194528157988,0.792482724318861,1.00000000001784
